,f_sandwich_intensity_z,f_mev_vol_share_z,f_attack_eff_z,roc_6,roc_12,roc_48,madev_6,madev_12,madev_48,cci_6,cci_12,cci_48,dist_h_6,dist_h_12,dist_h_48,dist_l_6,dist_l_12,dist_l_48,cmf_6,cmf_12,cmf_48,volsu_6,volsu_12,volsu_48,mfi_6,mfi_12,mfi_48,avr_6,avr_12,avr_48,atr_6,atr_12,atr_48,gkvol_6,gkvol_12,gkvol_48,rvol_6,rvol_12,rvol_48,skew_6,skew_12,skew_48,kurt_6,kurt_12,kurt_48,drp_6,drp_12,drp_48,pvcorr_6,pvcorr_12,pvcorr_48,rank_6,rank_12,rank_48,corr_6,corr_12,corr_48,delta_6,delta_12,delta_48
f_sandwich_intensity_z,1.0,0.1209020700690927,0.11855243383682723,0.10393842299697742,0.0987206552030925,0.10294317423378832,0.09660070884332267,0.09846223515735236,0.1003235167449396,0.09001916870095188,0.09017105312842201,0.09685666000921801,0.09338541186640521,0.09502096003957357,0.09369247796776695,0.09442187483820641,0.09441859328583546,0.10043794883445029,0.08911743173569682,0.09098909946247169,0.09499512268327455,0.0942515239844086,0.09693684649683189,0.09927293892489666,0.09375734998444649,0.09427454502620884,0.10189125848759499,0.09583941687192804,0.09375198247584644,0.09894151173836341,0.08491978240519052,0.08098961740990249,0.08564365865484519,0.08912412009592639,0.08295729396050684,0.0837936566588244,0.08841680559921375,0.0793193938880894,0.0812754308000975,0.08769089564796166,0.08683452614924414,0.08430411415486043,0.08558217600210623,0.08173869064787997,0.0857580520980367,0.0837999734139776,0.08541794996920074,0.09032699030182674,0.08840673575129533,0.08794370536922533,0.09282318668762163,0.08596586349736494,0.08794659880121507,0.08910109734107512,0.09189676188457258,0.09349154281450159,0.09756487947232852,0.10298732101942498,0.10188010870737742,0.09423154619633964
f_mev_vol_share_z,0.1209020700690927,1.0,0.11715076462531242,0.08705677697508596,0.08532571590513854,0.08226160912133307,0.08203676671295143,0.08516173940827254,0.08618506776111372,0.07735893192864507,0.07775857616749102,0.08295246873614615,0.08244211056575385,0.08344952915909466,0.08150805252877658,0.08035952495980041,0.08111216591207829,0.0864170814398038,0.07877568817151225,0.07763068115628484,0.07824016595684494,0.07728551935869009,0.07495410526315789,0.07846827744177419,0.0794681139323228,0.07563370808109926,0.07731809334492898,0.08211460408682057,0.0791025028770952,0.07428086741042168,0.0756942816832798,0.07152745286249693,0.06952388809445238,0.08073267953728243,0.07189813187183648,0.06673967692958659,0.07807317360631724,0.07121144262013894,0.06267192919507236,0.0735427139070523,0.07255866602812486,0.0731009544850441,0.07292886464649982,0.07601966076368047,0.07710753218482679,0.07075038150146663,0.07123753438064222,0.08218738066091102,0.07564616755793227,0.07559852507895062,0.07577407364956691,0.0724621667288205,0.07358214781795568,0.07547717745146257,0.08285154611536083,0.0759086536109707,0.08082386031617413,0.07866614854034099,0.07963602382730615,0.07717405490059599
f_attack_eff_z,0.11855243383682723,0.11715076462531242,1.0,0.09547094016570627,0.09412257574755331,0.09932640232833762,0.08971170218329953,0.0910299225966425,0.09630806947560874,0.07874353485970333,0.08816540383062413,0.09160198173014526,0.08794859790452512,0.08791583443493475,0.09096627400937803,0.08822135552879805,0.08732786181397544,0.09081360639775249,0.08674055174613299,0.08998130447802265,0.08810212479797035,0.0866022472844735,0.0876983314735459,0.08722898772241697,0.08800761347678238,0.08498809172178373,0.1004210511949119,0.09078818741901017,0.09124865984730844,0.09131333310370957,0.0828692319620744,0.08204450360468958,0.08092811170696439,0.09024796027257985,0.0838522034529294,0.07957265203725597,0.08175071654176241,0.07797136924325142,0.08165417680611124,0.07713746602731664,0.08019340341191224,0.0803051219278234,0.0782365907421014,0.0809328680341922,0.08330217786962363,0.07411639244363193,0.07970813178193228,0.0868755914354941,0.08370825458193232,0.0885426033931982,0.08624172817510817,0.07913378666702153,0.0817134092900964,0.0828955681920751,0.08580470539246304,0.08963632174044321,0.08973727857256458,0.08811484433484522,0.09291693291862752,0.08291038630226188
roc_6,0.10393842299697742,0.08705677697508596,0.09547094016570627,1.0,0.436565605723098,0.3183418754745634,0.5333355073290832,0.6549154902649008,0.431669636856267,0.3533196267212516,0.4479944151774319,0.4217687254237467,0.426294032338949,0.4101081391773937,0.3538482680094624,0.38725642764247525,0.381548213021446,0.3255350013607548,0.3399264189593041,0.2420625247157352,0.19178605731756992,0.2140324948804142,0.23096109986448674,0.2432920443465386,0.4321448793585271,0.296298799976205,0.25154388547977236,0.41781450872359965,0.2903055891177149,0.24390159969323646,0.1604006604528437,0.12671465290135034,0.10665596408841897,0.18245589994676897,0.1274023823513701,0.09970716567195115,0.20526784934945394,0.1452674530631411,0.10722715763271963,0.1686414997705957,0.1726027685446207,0.17346105313862956,0.17722110341878763,0.17574363391599915,0.16163385700545047,0.36070628921738757,0.38327771643311637,0.353323086778984,0.24002193599190055,0.20093059283313516,0.18197365864632437,0.1579553304167626,0.16307789149122878,0.16031167960374945,0.23877182453377674,0.23146025023447858,0.18486676884325995,0.24399076833842276,0.22172771406596745,0.2058631888531443
roc_12,0.0987206552030925,0.08532571590513854,0.09412257574755331,0.436565605723098,1.0,0.3552079785819224,0.4089567655304707,0.5570811836467979,0.5134312871167437,0.28976695271004743,0.3940363764083217,0.47945653998992555,0.3316653110758227,0.4351799162250764,0.3850049128984054,0.29625582789219923,0.401344119405399,0.36667069302354893,0.236936719683434,0.3206942180910476,0.19452518630755436,0.19821883199384696,0.21192163520692844,0.22194289081442412,0.3013386290085319,0.4549166087560806,0.2700842184206259,0.28968721154537064,0.40603503040203287,0.2528621733052572,0.17713047517586486,0.13682525817651092,0.09791447394066971,0.1972001420415745,0.14856404733873083,0.09031178715445573,0.20176361987432792,0.1673006804485941,0.0985581320424506,0.15510852302805717,0.1779145252907763,0.16533446191438222,0.16661354816419777,0.17478698182719618,0.14901733683740354,0.27308844562421647,0.3846557721336221,0.40152468359114796,0.2246852187964064,0.2642282357338067,0.18110635450805748,0.1523189114071275,0.15408935490605993,0.15096191112320542,0.23433616687869113,0.26217606187072007,0.19676798768757214,0.212160147395726,0.21651878017307952,0.19552039293708032
roc_48,0.10294317423378832,0.08226160912133307,0.09932640232833762,0.3183418754745634,0.3552079785819224,1.0,0.3111831850527699,0.35718436527153236,0.5665340920576523,0.22448312275867985,0.25866595259847314,0.4286072000542534,0.276658271363262,0.2972313708598214,0.4490725894048641,0.24289112865723222,0.26354813732688176,0.42214700703297164,0.20805598356445815,0.20759599030145115,0.28338394932373134,0.2034654245992426,0.21142535496025364,0.2121420606318064,0.23874082367756233,0.27468936677053757,0.5018227054548393,0.23711061868011513,0.2492918651638974,0.4224710964685592,0.1810762015661222,0.1720871194787649,0.12645012488869725,0.1809812544707532,0.16357938812723713,0.12809160386881077,0.18943471633340592,0.16445109012820133,0.13631534383544652,0.1570126136393069,0.16509189715721206,0.19611929591219587,0.1694460521408085,0.17250170381401925,0.15641342397582422,0.21130043207376634,0.23516707340217097,0.4129659921086661,0.18756307227356064,0.2044733882958597,0.2936001318427775,0.1648726588990884,0.16028984675279265,0.14476123731397536,0.20478208439188816,0.2347082623899233,0.25431753723439976,0.21011880892652313,0.2009766096543758,0.1964201683601443
madev_6,0.09660070884332267,0.08203676671295143,0.08971170218329953,0.5333355073290832,0.4089567655304707,0.3111831850527699,1.0,0.6475623987838893,0.42380547911074873,0.4382250893665403,0.43998465873050996,0.3977991055725843,0.4575189694155891,0.4091965084933435,0.35265881950173433,0.42333863397721916,0.3834001796353887,0.3303852492239436,0.274739164101104,0.23491321138633392,0.1894229395627677,0.2292925567628396,0.24806187108327957,0.2636356963410043,0.30768467623005763,0.27058134299338943,0.2371020702171249,0.3250934823690242,0.27848101265822783,0.2390439095999716,0.15149085058293216,0.12275200212810039,0.10725618005165416,0.16443467069833695,0.12262538357959932,0.09896144021780694,0.19094530821107134,0.14462624634229154,0.10763913035639316,0.16442104347959505,0.1777908316231948,0.17388749628030606,0.1741246122341396,0.18200440671699583,0.1612515993261835,0.41133777531114796,0.38906724895983946,0.35324702361590005,0.19620339089252425,0.1883248207191869,0.180647527706525,0.16377110859248448,0.16847833091463052,0.16270729096397624,0.2197974049030102,0.21915164487365463,0.18104894403051056,0.24356176650798889,0.23642658616062873,0.22323830957739435
madev_12,0.09846223515735236,0.08516173940827254,0.0910299225966425,0.6549154902649008,0.5570811836467979,0.35718436527153236,0.6475623987838893,1.0,0.520985451000111,0.3851700672439204,0.49564471309139274,0.4864591670217963,0.44429060023352174,0.4913351252095697,0.41166428831856827,0.39920383254189873,0.4468821254266702,0.3784753122035655,0.3023936569276006,0.277579941671562,0.20310286149618018,0.21995640954981588,0.2384767019456581,0.2532045213463666,0.38750017226884964,0.3492127446100854,0.2711765117744533,0.3737963319605345,0.34187928111582316,0.26382245357343836,0.16382961739746463,0.12629130311993697,0.10016980334458271,0.18397351123609315,0.126823095932608,0.09312686862953304,0.2077162263703235,0.15051044795644714,0.10209647389854144,0.16767227061570725,0.17690908644038636,0.17462022365488503,0.17924128795899172,0.17898522062937738,0.15694908150483658,0.3697075387267301,0.4465905948058205,0.41591119333950044,0.23999225443145958,0.21961441958113576,0.18963736543514706,0.16192594589736675,0.16736318358427024,0.16085613083126082,0.24904945916166177,0.2502317006830133,0.1917826468010517,0.23951038582436482,0.2299361584011843,0.2166804835258054
madev_48,0.1003235167449396,0.08618506776111372,0.09630806947560874,0.431669636856267,0.5134312871167437,0.5665340920576523,0.42380547911074873,0.520985451000111,1.0,0.2802010908654999,0.3403615891087497,0.5913667433176515,0.34987404735453725,0.3988153624702482,0.5403219354128954,0.30786439671017213,0.3522649068030513,0.4984933275936289,0.2409944597619278,0.24841001547011976,0.2414263049634269,0.21936550668295116,0.23160574150550808,0.23513336480836386,0.298515761385516,0.35254758375038553,0.38683072093521526,0.2921179926642373,0.3176662214071341,0.3475018308095722,0.19352735761552897,0.16323043381492447,0.10640598612937462,0.19999953223048875,0.1699100104370578,0.09535927800810867,0.20616641384972934,0.17445895352022647,0.10535850385364712,0.16673361863385477,0.17396756010583228,0.17833744810559563,0.1809080223604324,0.18316428636404986,0.15090258973052473,0.26571706538279244,0.31174150600715844,0.5253400322213645,0.21770438705572748,0.24094353871006371,0.23555173974951735,0.17003299210873973,0.16924504010673322,0.15179309089381485,0.22991240635036025,0.27159545072380326,0.24264307553874265,0.22940300805913455,0.22033259221697807,0.20694350357505362
cci_6,0.09001916870095188,0.07735893192864507,0.07874353485970333,0.3533196267212516,0.28976695271004743,0.22448312275867985,0.4382250893665403,0.3851700672439204,0.2802010908654999,1.0,0.5103729050222638,0.3044748176717677,0.3247840465659762,0.3093704474029008,0.25916721568496637,0.31108077315942484,0.2961836897312973,0.25052520704442993,0.24505248430271834,0.18917266496136637,0.14216751587316082,0.16858931340105987,0.173666367617754,0.17835580883597585,0.30560053388595215,0.23518341256063727,0.17962604329123036,0.2928794516241466,0.23002483010977523,0.17769482763107297,0.10791961940303445,0.09161582531983573,0.08450411680897811,0.11662869868739272,0.09341917072692416,0.08190214592274678,0.12510599130634875,0.10137790615085941,0.08266913042279159,0.12314128085730267,0.12017501121246245,0.11179292399111841,0.12661352849769508,0.12183783851696432,0.10784669477846319,0.49314557574127965,0.4111074427503689,0.29695590345434175,0.16882713202919788,0.14627211142261376,0.128965654282503,0.13930990223387404,0.14343049486961326,0.13047539216860257,0.18234240663565182,0.16614872080160115,0.12670866657730515,0.16097931007255714,0.15784248746052926,0.14867951243536076
