,f_sandwich_intensity_z,f_mev_vol_share_z,f_attack_eff_z,roc_6,roc_12,roc_48,madev_6,madev_12,madev_48,cci_6,cci_12,cci_48,dist_h_6,dist_h_12,dist_h_48,dist_l_6,dist_l_12,dist_l_48,cmf_6,cmf_12,cmf_48,volsu_6,volsu_12,volsu_48,mfi_6,mfi_12,mfi_48,avr_6,avr_12,avr_48,atr_6,atr_12,atr_48,gkvol_6,gkvol_12,gkvol_48,rvol_6,rvol_12,rvol_48,skew_6,skew_12,skew_48,kurt_6,kurt_12,kurt_48,drp_6,drp_12,drp_48,pvcorr_6,pvcorr_12,pvcorr_48,rank_6,rank_12,rank_48,corr_6,corr_12,corr_48,delta_6,delta_12,delta_48
f_sandwich_intensity_z,1.0,0.27342027603270375,0.2503319487343345,0.27728032450585377,0.2912275707629973,0.3129770248841894,0.2689360894000629,0.2895179051206035,0.3086765147464864,0.2310957831351954,0.2611658926822926,0.2962577828418873,0.30828516008708523,0.304533725367195,0.30130136019202713,0.2979168471985152,0.28422681660793125,0.2929229767007938,0.23534254322552986,0.2618454458044791,0.29904465719454437,0.23124590638051734,0.2616867798724972,0.3041225916213534,0.25136412630907895,0.2743000830874251,0.3129393156659499,0.2474922585941995,0.26698387307390964,0.30697988577104546,0.3589107000868944,0.3704963078696571,0.34802345994441236,0.3540376754182646,0.36171744550118595,0.3510478242290435,0.35231043896489794,0.3610573265070385,0.34092343120322394,0.1984288870769017,0.24395346131471785,0.2986737912290709,0.18244563404444586,0.23676629782454106,0.29646393269890114,0.22568111161618815,0.25310444183793157,0.2919756055330037,0.23744545328575095,0.2661094542646375,0.30419586157102774,0.19826519771215673,0.24135820577378855,0.30694631558530744,0.2445703280917728,0.2706964220044338,0.3043687355474245,0.24774831342241949,0.26758586945885116,0.3080853737154587
f_mev_vol_share_z,0.27342027603270375,1.0,0.18546767975810255,0.1646684920376303,0.17037717474917757,0.17318923537658762,0.16108623498357885,0.16723229959040375,0.17063066923791156,0.1483472419014725,0.15954269630889945,0.16885636065979723,0.180551049490963,0.17923907237879935,0.1744693452349476,0.16850719671605524,0.16236539571917386,0.16626789301379094,0.1483894730147963,0.16013892039149405,0.1751282465699439,0.15796181164643913,0.1718721115598501,0.18359609007644,0.15763176669408227,0.16798183029442224,0.17368585686184362,0.15291405444206801,0.164388882201028,0.17048750878538113,0.18959712771692144,0.1929820684371714,0.1794452726796543,0.18833191972530405,0.1918741060735205,0.18296428952643,0.19029711232612453,0.19153761542793857,0.18139082751744764,0.13373069972416854,0.15310141477534017,0.17150410297445587,0.1283360570990228,0.1479174041297935,0.16820810831785044,0.14668341049238093,0.15973664304195115,0.16768010150242665,0.15442606038963616,0.16036716029541193,0.16993577118929756,0.142341776650949,0.16593492833661744,0.18698422065474168,0.15633610790322286,0.1617156535729702,0.17110366276095904,0.16183393902897303,0.16878492966933428,0.18232152719974484
f_attack_eff_z,0.2503319487343345,0.18546767975810255,1.0,0.14211816128921886,0.1456259443948555,0.1516819777022126,0.13972680078157737,0.1452077175212831,0.14993345168475392,0.1281033185655772,0.13706635377373624,0.14706249814082162,0.1503920127025708,0.1497260197116194,0.149465812649437,0.14893711150927955,0.1436550598600792,0.1440072207742912,0.13001587740260867,0.1387694794409159,0.14779884738184326,0.1281967872582932,0.13744783582625655,0.15131801657271537,0.13465319405654075,0.14259846084200997,0.14866063208599384,0.1367342138320713,0.14241486780744034,0.14764541684332408,0.16004671117768018,0.16254036400322544,0.15694745894590278,0.15945946407732486,0.1609679316805368,0.16281384989200864,0.16209144417420865,0.16152856845649008,0.16196905952220753,0.11491504049502266,0.13290110764740995,0.15051755018492244,0.11352428117888738,0.12890938896210344,0.14935084516549563,0.12885580865104246,0.13772411144353577,0.14403544406535732,0.13491302339277658,0.13684483628181254,0.1503965324787556,0.11983858204452637,0.1321832623392864,0.15018462373111552,0.1327110088337911,0.13720311076858405,0.14425826033452263,0.13217694769690969,0.13986640368751976,0.14657596635561113
roc_6,0.27728032450585377,0.1646684920376303,0.14211816128921886,1.0,0.6634893994637036,0.49738717256557435,0.7163330352434019,0.8152837360336509,0.6005019295370896,0.5629262283631561,0.6898953090099933,0.6079630211730676,0.5121253803655355,0.5122486558927035,0.5158681351781165,0.4524510829712292,0.46005293492330945,0.49799710915482726,0.4806838411327781,0.4628207454377035,0.44565590613989214,0.4003250081436072,0.46818077175087214,0.5414105510274935,0.6309868182646527,0.5611888842854265,0.47903014302656255,0.585392282093866,0.5332058962259647,0.47436399354645026,0.553358773964119,0.5171097618962902,0.36897811865553803,0.5520865499139794,0.5179058498860829,0.386753849398861,0.5543396207877358,0.5268767630801684,0.37997872805314736,0.2825821830478408,0.3685659166443825,0.421164383440148,0.24375639399474036,0.36124116525186045,0.41710573277217683,0.5164757928685103,0.6092415944743131,0.5733020196583024,0.4510416687467426,0.4575396333096492,0.42771442987762825,0.3068943581771531,0.41057347637425334,0.534538043254037,0.4517329450470751,0.48666776582031834,0.44809227730484613,0.44373377402634995,0.47513416243167406,0.5171934412051372
roc_12,0.2912275707629973,0.17037717474917757,0.1456259443948555,0.6634893994637036,1.0,0.5473708896180953,0.5913716864157169,0.7512622462968536,0.6969374989605642,0.4772255521608321,0.6326231527581385,0.6981634621688191,0.5187764280343965,0.5455347186669378,0.5639762643387923,0.4583851658382069,0.4776320197290112,0.5428144476436928,0.4162283368805108,0.5097691145685563,0.47951786074849223,0.3944620461810963,0.46603731965727124,0.5563556633000148,0.5558201654794861,0.6838316943208417,0.5176358453217352,0.5017983747452143,0.6182863759923848,0.5095307018619827,0.6002750158662999,0.5641224982071843,0.38741180152498006,0.5976926677933557,0.5684453816243936,0.4099944685839923,0.5901915372444451,0.5749725066268222,0.40319329201552007,0.28422516568995115,0.38453574021033915,0.44558190033801587,0.24681819663611906,0.369212757913424,0.43481297870153757,0.4295625569788464,0.5762125216078205,0.6378665289171126,0.4501811980387977,0.5206491898481573,0.45802877867793174,0.29979279786238944,0.4081101653618647,0.5561261370289569,0.4642625937627197,0.5312025696896837,0.47907914665281925,0.4264690595869209,0.4893482262207199,0.5322550015825157
roc_48,0.3129770248841894,0.17318923537658762,0.1516819777022126,0.49738717256557435,0.5473708896180953,1.0,0.4667522514092624,0.5256474202428312,0.690592852547881,0.3792525410019069,0.45715145868701246,0.6349483671075047,0.5000502619585125,0.498155366897952,0.5819267498364296,0.4456112855358103,0.4338030426850624,0.5746279006135752,0.3503910169364522,0.4082392007412829,0.540215489455751,0.36020069468541127,0.42134527879764255,0.5195611352626406,0.43254869763707066,0.5011078240183423,0.6984446919735733,0.40399588977654277,0.4687677282682848,0.6285713741541169,0.6118130698747676,0.6067550758298472,0.43775976396663874,0.5990952902344093,0.5969808324224111,0.4700626440658137,0.5816675768265104,0.5835917791392359,0.45486089076201175,0.2697033699517265,0.35900069272527035,0.49523284520207755,0.23786505771127633,0.3555106521889783,0.46042331162275413,0.34679126079047884,0.41463642639360293,0.6096144225602639,0.37732356845163506,0.45284745407672955,0.5568017014532624,0.27536106195670024,0.3672825589270139,0.5201062813431852,0.39843292024956783,0.4905417310180356,0.527752708800562,0.3998278226712929,0.4398008101885384,0.5229238184634314
madev_6,0.2689360894000629,0.16108623498357885,0.13972680078157737,0.7163330352434019,0.5913716864157169,0.4667522514092624,1.0,0.7416953562727445,0.5514633883849888,0.6380106531590365,0.6676638760374622,0.554180720021351,0.4944574779541757,0.4882301718092876,0.49076852460196746,0.4423896719141847,0.43881000799226627,0.46712127707499257,0.45254321637595263,0.44336774238328625,0.4305878918626425,0.414031064357377,0.4735584821063905,0.5313230571504595,0.5405988397151698,0.5120705637693177,0.44949146518653244,0.5290149974397624,0.5023091618746378,0.4515383285038136,0.5246164217929046,0.49167762923408914,0.3573606235889323,0.5186197503977507,0.4918672937669063,0.3711811731592424,0.523530825405804,0.5022748512533299,0.36668209772065646,0.2751008604738167,0.3617044480797694,0.4058141515947669,0.23949596872313159,0.3491343063725909,0.4018195426670787,0.5741179745516913,0.6071816636199777,0.5374679378154505,0.41279261982625043,0.4277188641118788,0.40473620755918943,0.31449869772176153,0.40977009234134276,0.5141991952544904,0.42911422701797075,0.45466181660079347,0.4246418127888818,0.438974525575247,0.4715808009623432,0.5036418104073672
madev_12,0.2895179051206035,0.16723229959040375,0.1452077175212831,0.8152837360336509,0.7512622462968536,0.5256474202428312,0.7416953562727445,1.0,0.6512753298143611,0.5638036985049292,0.723986163305368,0.6582577346736771,0.5388153655855812,0.5503341877178156,0.5514753679095491,0.4729786133149362,0.4876023348090551,0.5254926857183734,0.4611691343553977,0.487617288206727,0.46851948258596327,0.41323225954373494,0.48550953206239167,0.5693962622411847,0.6028571712415184,0.6065770014864349,0.5030785413504466,0.554994668175215,0.5699969391572479,0.4982512291459507,0.5884022765670863,0.5473979764263439,0.3841796875,0.5850928859165395,0.5500513171399247,0.4043376774277827,0.5826074423862015,0.5563268921623307,0.39539364649398273,0.2855683731015397,0.3806069641224757,0.4378039667168907,0.24993908428450684,0.36913975496072343,0.4326911294400693,0.507118141773358,0.6403393439159517,0.6153816552596135,0.45534815557569563,0.48420727911526035,0.44618446497360903,0.31284336944967645,0.4216054187200892,0.5604361056088407,0.46538953482780837,0.5077260748603434,0.4659081621533264,0.44764716004136784,0.49477663445852677,0.5414310486568525
madev_48,0.3086765147464864,0.17063066923791156,0.14993345168475392,0.6005019295370896,0.6969374989605642,0.690592852547881,0.5514633883849888,0.6512753298143611,1.0,0.4430300421232746,0.5546529752863585,0.8255669351068102,0.531097551854185,0.5453029986029466,0.64825500607018,0.47466814695668313,0.4794919499350718,0.6304799660934761,0.3963745325328481,0.4671920742591931,0.5284635735274127,0.38978517947644836,0.4609811657120219,0.5700587920388495,0.5108993551984186,0.607921717379951,0.6081598865971873,0.46622162548330465,0.5523608470275233,0.5789008935967711,0.6500018893115349,0.6196362001094919,0.4205657185707061,0.6390941578375655,0.6188342183615212,0.4488598075073175,0.6196483007972364,0.6127773053392888,0.43604540210062626,0.28529375241963173,0.38483422517411064,0.4849879685467148,0.2485609332594041,0.37582739620257605,0.46638969969990496,0.40073862536827276,0.49935960492968334,0.7485316368572126,0.43151851248950596,0.5154548602883546,0.5143986702786834,0.29642966581587016,0.4005587899214371,0.5707136689088644,0.45180893419751406,0.5536425585146657,0.5285772018675999,0.4288277825837437,0.48318921698177986,0.5568904190053517
cci_6,0.2310957831351954,0.1483472419014725,0.1281033185655772,0.5629262283631561,0.4772255521608321,0.3792525410019069,0.6380106531590365,0.5638036985049292,0.4430300421232746,1.0,0.6606664058888375,0.45473029230723483,0.3960062506404345,0.40197522548362863,0.41168214003525194,0.34737692618456745,0.35730765604284165,0.39113445758271626,0.42763274280371,0.39048852182184257,0.3552391672841706,0.3585345026730909,0.39175324849399323,0.41788294051033115,0.521750770546019,0.44158087999486884,0.3668801882356385,0.4948182177211053,0.4312103329023191,0.36821758632331497,0.4051309181643031,0.38459741666790914,0.29599974725684824,0.4008151764338173,0.38502206837009206,0.3071360590832953,0.399233789898516,0.38823615217218,0.30280015901943264,0.24365052952144756,0.3007811920961741,0.33004443344972934,0.2140069384215091,0.2916958224192773,0.3232249317881433,0.6586191675817669,0.6110660521534037,0.45671531233154034,0.37276032941569603,0.3643593573610213,0.3335774939798558,0.2877541033652983,0.3552509024941102,0.41144950423455656,0.38238062301913883,0.38087295245705155,0.343753678417986,0.3595253907992427,0.37787923277291025,0.39734064591335855
